Nom;Prénom;Classe;Date de naissance;Régime;LV1;LV2
BERNARD;Camille;3e A;12/03/2012;DP;Anglais;Espagnol
DUPONT;Léa;3e A;04/11/2011;EXT;Anglais;Allemand
EL Fassi;Youssef;3e A;28/09/2011;DP;Anglais;Espagnol
GARCIA;Inès;3e A;17/01/2012;INT;Anglais;Italien
MARTIN;Hugo;3e A;03/06/2011;DP;Anglais;Espagnol
MOREAU;Chloé;3e A;22/08/2012;EXT;Anglais;Allemand
NGUYEN;Minh;3e A;15/12/2011;DP;Anglais;Espagnol
PETIT;Arthur;3e A;09/04/2012;DP;Anglais;Espagnol
ROUSSEAU;Emma;3e A;30/07/2011;INT;Anglais;Italien
SIMON;Noah;3e A;21/02/2012;EXT;Anglais;Allemand
